brand,year,km_driven,fuel,seller_type,transmission,owner,mileage(kmpl),engine(cc),max_power(bhp),seats,selling_price
Maruti,2019,10000,CNG,Individual,Manual,Second Owner,30.096,796.0,40.3,4.0,330000
Maruti,2019,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0,366000
Hyundai,2019,5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,1149000
Datsun,2016,42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,150000
Tata,2011,60000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7.0,425000
Maruti,2012,76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4.0,150000
Jeep,2019,5000,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5.0,2100000
Honda,2018,28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0,925000
Honda,2013,86300,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5.0,425000
Maruti,2018,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0,675000
Maruti,2018,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,819999
Maruti,2018,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,390000
Toyota,2014,77000,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7.0,1500000
Toyota,2013,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7.0,700000
Mercedes-Benz,2014,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5.0,1450000
Honda,2015,49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0,425000
Mitsubishi,2013,151000,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7.0,1090000
Honda,2015,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0,600000
Maruti,2018,64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0,850000
Honda,2015,63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5.0,525000
Toyota,2016,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,1650000
Toyota,2016,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7.0,950000
Audi,2013,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5.0,1750000
Toyota,2018,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,1590000
Audi,2013,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5.0,1689999
Mercedes-Benz,2013,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,5.0,1425000
Tata,2011,120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,265000
Hyundai,2011,110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0,190000
Hyundai,2013,60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0,425000
Maruti,2015,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0,630000
Ford,2017,25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0,600000
Maruti,2019,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,650000
Volkswagen,2016,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,540000
Honda,2015,135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,630000
Maruti,2018,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,448000
Volkswagen,2017,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,500000
Maruti,2016,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,745000
Maruti,2019,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0,1025000
Hyundai,2011,60000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,235000
Maruti,2016,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,630000
Toyota,2015,78000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7.0,1700000
Maruti,2013,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,450000
Maruti,2012,120000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7.0,450000
Tata,2003,70000,Diesel,Individual,Manual,First Owner,18.981452702702722,1629.320945945946,95.17667785234892,5.0,50000
Volkswagen,2013,170000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0,450000
Toyota,2016,140000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8.0,1200000
Ford,2015,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,610000
BMW,2016,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,5.0,2500000
Maruti,2017,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5.0,484999
Datsun,2016,49000,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5.0,275000
Maruti,2016,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,315000
Maruti,2016,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,275000
Maruti,2015,78000,Diesel,Dealer,Manual,First Owner,25.909029126213607,1246.009708737864,78.18771428571429,5.0,475000
Hyundai,2012,28000,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0,290000
Maruti,2017,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5.0,280000
Maruti,2010,44000,LPG,Dealer,Manual,First Owner,23.58,998.0,58.2,5.0,225000
Volkswagen,2015,42000,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5.0,455000
Hyundai,2015,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5.0,351000
Volkswagen,2012,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5.0,535000
Maruti,2009,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0,175000
Hyundai,2013,61500,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5.0,525000
Maruti,2016,150000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,600000
Hyundai,2016,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5.0,565000
Maruti,2008,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5.0,120000
Hyundai,2017,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,725000
Maruti,2009,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5.0,185000
Tata,2010,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0,200000
Maruti,2019,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,615000
Maruti,2016,100000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,7.0,270000
Maruti,2018,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,610000
Mahindra,2014,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8.0,625000
Ford,2020,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0,400000
Hyundai,2017,37800,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,866000
Volkswagen,2010,114000,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,5.0,700000
Tata,2010,48000,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5.0,300000
Mahindra,2019,32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,7.0,1700000
Tata,2016,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0,375000
Hyundai,2013,150000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0,522000
Hyundai,2013,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,451999
Toyota,2009,100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5.0,300000
Maruti,2020,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,475000
Maruti,2016,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,780000
Maruti,2017,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,595000
Maruti,2017,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,440000
Maruti,2010,120000,Diesel,Individual,Manual,Second Owner,22.435050000000036,1246.24,77.29664999999996,5.0,300000
Nissan,2014,70000,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5.0,400000
Hyundai,2016,50000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,1140000
Ford,2017,76139,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,850000
Maruti,2012,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0,370000
Renault,2018,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,350000
Maruti,2015,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5.0,360000
Maruti,2008,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0,105000
Maruti,2013,90000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,625000
Hyundai,2009,80000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0,135000
Maruti,2015,110000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,700000
Honda,2019,1303,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5.0,690000
Audi,2018,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,5.0,3975000
Lexus,2019,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,5.0,5150000
Jaguar,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5.0,3200000
Jeep,2017,17000,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,5.0,4100000
Land,2019,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,7.0,4500000
Mercedes-Benz,2017,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,5.0,6000000
BMW,2018,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5.0,3790000
BMW,2017,27000,Diesel,Dealer,Automatic,First Owner,17.666111111111093,2050.6111111111113,193.22355555555558,5.0,2150000
BMW,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0,5800000
Skoda,2018,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5.0,1864999
Mercedes-Benz,2016,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,5.0,2700000
MG,2019,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5.0,1750000
Honda,2017,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5.0,795000
Toyota,2013,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,625000
Volvo,2018,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,5.0,3400000
Audi,2015,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,7.0,2650000
Maruti,2015,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5.0,535000
Mercedes-Benz,2017,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,282.0,5.0,5850000
BMW,2010,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,5.0,975000
Hyundai,2016,49900,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,5.0,805000
Jaguar,2017,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5.0,2625000
Tata,2018,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5.0,811000
Volkswagen,2011,49000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5.0,375000
Hyundai,2012,95000,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,5.0,550000
Skoda,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5.0,645000
Mercedes-Benz,2018,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,5.0,2550000
Maruti,2014,46100,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,7.0,599000
Mercedes-Benz,2017,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,5.0,2700000
Honda,2017,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5.0,875000
Toyota,2019,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5.0,894999
Maruti,2011,11000,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,175000
Maruti,2012,24300,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5.0,340000
Toyota,2016,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,1525000
Tata,2018,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5.0,1025000
BMW,2016,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0,2150000
Toyota,2016,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,5.0,1900000
BMW,2016,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,5.0,2900000
Toyota,2009,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362.0,164.7,5.0,450000
Maruti,2016,20000,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,7.0,850000
Volvo,2017,30000,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,4.0,10000000
Volkswagen,2011,100000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5.0,300000
Ford,2018,9500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,575000
Ford,2011,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,160000
Maruti,2015,36600,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,515000
Maruti,2015,50000,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5.0,390000
Hyundai,2016,14000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,550000
Maruti,1999,40000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,40000
Maruti,2010,120000,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5.0,220000
Hyundai,2015,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,425000
Volkswagen,2019,13000,Petrol,Individual,Manual,First Owner,19.44,999.0,75.0,5.0,480000
Hyundai,2014,60000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0,400000
Maruti,2014,35000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5.0,487000
Hyundai,2016,44000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,5.0,386000
Honda,2005,120000,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,5.0,100000
Toyota,2010,60000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5.0,300000
Daewoo,2000,60000,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5.0,100000
Toyota,2014,30000,Diesel,Individual,Manual,Second Owner,13.0,2982.0,168.5,7.0,1750000
Mahindra,2016,15000,Petrol,Individual,Manual,Second Owner,18.15,1198.0,82.0,6.0,450000
Tata,2017,90000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5.0,490000
Honda,2009,47000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5.0,345000
Maruti,2005,90000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5.0,85000
Maruti,2010,120600,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5.0,215000
Hyundai,2010,100000,Petrol,Individual,Manual,Third Owner,16.2,1599.0,103.2,5.0,320000
Maruti,2016,60000,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,5.0,459999
Hyundai,2005,86000,Petrol,Individual,Manual,First Owner,15.3,1341.0,83.0,5.0,65000
Hyundai,2020,5000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0,720000
Maruti,2017,37000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5.0,800000
Tata,2019,14000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,5.0,520000
Maruti,2015,70000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0,580000
Toyota,2012,120000,Diesel,Individual,Manual,First Owner,15.691932773109237,2232.3193277310925,104.02789915966392,7.0,235000
Honda,2015,50000,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,5.0,600000
Honda,2014,60000,Petrol,Individual,Manual,Second Owner,19.4,1198.0,86.8,5.0,290000
Maruti,2016,50000,CNG,Individual,Manual,First Owner,23.94,998.0,58.16,5.0,360000
Maruti,2017,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,550000
Hyundai,2013,70000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,5.0,375000
Maruti,2003,90000,Petrol,Individual,Manual,Second Owner,19.21963068181816,980.0511363636364,61.32218749999984,5.0,40000
Maruti,2018,35000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,420000
Maruti,2017,20000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,550000
Maruti,2018,20000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,270000
Maruti,2018,7800,Petrol,Individual,Automatic,First Owner,22.0,1197.0,81.8,5.0,700000
Maruti,2017,20000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,500000
Tata,2019,15000,Diesel,Individual,Manual,First Owner,17.6,2179.0,147.94,7.0,1250000
Hyundai,2013,31377,Petrol,Individual,Manual,Second Owner,18.5,1197.0,82.85,5.0,320000
Maruti,2018,50000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,700000
Maruti,2015,60000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,290000
Toyota,2012,100000,Petrol,Individual,Automatic,First Owner,14.53,1794.0,138.1,5.0,550000
Honda,2012,60000,Petrol,Individual,Manual,First Owner,19.4,1198.0,86.8,5.0,265000
Maruti,2018,5000,Petrol,Individual,Automatic,First Owner,21.4,1197.0,83.1,5.0,830000
Tata,2017,60000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,7.0,800000
Maruti,2011,25000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,160000
Renault,2018,30000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,335000
Datsun,2017,80000,Petrol,Individual,Manual,Second Owner,20.63,1198.0,67.0,5.0,329000
Maruti,2017,75000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,775000
Hyundai,2020,32000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,524000
Maruti,2015,40000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,245000
Hyundai,2012,93000,Petrol,Individual,Manual,Second Owner,17.0,1197.0,80.0,5.0,275000
Tata,2018,60000,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.7,5.0,520000
Maruti,2008,120000,Petrol,Individual,Manual,Second Owner,19.21963068181816,980.0511363636364,61.32218749999984,5.0,130000
Nissan,2014,37000,Petrol,Individual,Manual,First Owner,16.95,1498.0,97.7,5.0,550000
Ford,2018,15000,Petrol,Individual,Manual,First Owner,17.0,1497.0,121.36,5.0,910000
Nissan,2015,80000,Petrol,Individual,Manual,First Owner,19.49,1198.0,67.04,5.0,300000
Maruti,2016,140000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,350000
Mahindra,2013,70000,Diesel,Individual,Manual,First Owner,12.83,2696.0,162.0,7.0,900000
Mahindra,2013,120000,Diesel,Individual,Manual,Second Owner,17.21,1493.0,100.0,7.0,300000
Maruti,2010,110000,Diesel,Individual,Manual,Second Owner,21.1,1248.0,73.9,5.0,250000
Hyundai,2017,37000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,1100000
Renault,2016,44000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,270000
Maruti,2015,80000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0,640000
Mahindra,2015,125000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,650000
Maruti,2017,13500,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,5.0,409999
Hyundai,2011,75000,Petrol,Individual,Manual,First Owner,17.92,1086.0,62.1,5.0,165000
Hyundai,2007,120000,Petrol,Individual,Manual,Second Owner,13.2,1495.0,94.0,5.0,80000
Mahindra,2012,120000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,535000
Toyota,2013,70000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.57,7.0,700000
Maruti,2013,70000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,550000
Honda,2019,15000,Petrol,Individual,Automatic,First Owner,19.0,1199.0,88.76,5.0,680000
Hyundai,2009,53000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,200000
Maruti,2014,120000,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,5.0,500000
Maruti,2016,70000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,7.0,1000000
Hyundai,2008,120000,Petrol,Individual,Manual,Second Owner,14.2,1341.0,82.9,5.0,110000
Hyundai,2012,100000,Petrol,Individual,Manual,Second Owner,18.5,1197.0,80.0,5.0,320000
Tata,2005,110000,Diesel,Individual,Manual,Second Owner,17.9798064516129,1597.7483870967742,86.50929032258068,5.0,75000
Maruti,2015,100000,Petrol,Individual,Manual,First Owner,20.4,1197.0,83.11,5.0,350000
Tata,2013,162500,Diesel,Individual,Manual,First Owner,19.4,1405.0,70.0,5.0,170000
Hyundai,2017,39000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,800000
Maruti,2017,75000,Diesel,Individual,Manual,First Owner,26.8,1248.0,74.0,5.0,500000
Tata,2017,50000,Diesel,Individual,Automatic,First Owner,17.6,2179.0,153.86,7.0,1380000
Mahindra,2019,40000,Diesel,Individual,Manual,First Owner,17.3,1497.0,121.0,8.0,1300000
Hyundai,2013,92500,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.3,5.0,530000
Maruti,2012,158000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,360000
Maruti,2012,120000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5.0,310000
Honda,2015,50000,Diesel,Individual,Manual,Second Owner,26.0,1498.0,98.6,5.0,725000
Maruti,2012,110000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5.0,340000
Hyundai,2017,2000,Diesel,Individual,Manual,Second Owner,25.4,1186.0,73.97,5.0,550000
Toyota,2011,181000,Diesel,Individual,Manual,Second Owner,11.5,2982.0,171.0,7.0,1150000
Tata,2016,70000,Diesel,Individual,Manual,First Owner,27.28,1047.0,69.0,5.0,380000
Nissan,2013,90000,Petrol,Individual,Automatic,Second Owner,17.97,1498.0,99.6,5.0,350000
Hyundai,2019,2000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0,610000
Maruti,2015,20000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,525000
Toyota,2011,120000,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,7.0,480000
Mahindra,2017,35000,Diesel,Individual,Manual,First Owner,16.55,2498.0,105.0,6.0,780000
Maruti,2012,193000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5.0,320000
Maruti,2014,80000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,375000
Datsun,2019,40000,Petrol,Individual,Manual,First Owner,19.02,1198.0,67.05,5.0,300000
